delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-10,SE2,00 - 01,230.9,1591.6,1591.6,14.16,2026-07-10T00:00:00
2026-07-10,SE2,01 - 02,227.0,1648.8,1648.8,15.38,2026-07-10T01:00:00
2026-07-10,SE2,02 - 03,225.0,1658.7,1658.7,16.95,2026-07-10T02:00:00
2026-07-10,SE2,03 - 04,219.9,1676.7,1676.7,17.19,2026-07-10T03:00:00
2026-07-10,SE2,04 - 05,211.3,1779.5,1779.5,18.17,2026-07-10T04:00:00
2026-07-10,SE2,05 - 06,211.4,1647.5,1647.5,21.78,2026-07-10T05:00:00
2026-07-10,SE2,06 - 07,58.2,1402.7,1402.7,25.35,2026-07-10T06:00:00
2026-07-10,SE2,07 - 08,62.1,1249.0,1249.0,29.03,2026-07-10T07:00:00
2026-07-10,SE2,08 - 09,49.2,1267.9,1267.9,33.16,2026-07-10T08:00:00
2026-07-10,SE2,09 - 10,1.4,1369.6,1369.6,33.08,2026-07-10T09:00:00
2026-07-10,SE2,10 - 11,1.9,1387.1,1387.1,35.31,2026-07-10T10:00:00
2026-07-10,SE2,11 - 12,2.3,1469.9,1469.9,35.63,2026-07-10T11:00:00
2026-07-10,SE2,12 - 13,3.2,1462.5,1462.5,39.76,2026-07-10T12:00:00
2026-07-10,SE2,13 - 14,4.0,1439.5,1439.5,35.79,2026-07-10T13:00:00
2026-07-10,SE2,14 - 15,2.8,1442.0,1442.0,34.65,2026-07-10T14:00:00
2026-07-10,SE2,15 - 16,2.8,1428.4,1428.4,35.13,2026-07-10T15:00:00
2026-07-10,SE2,16 - 17,10.8,1347.1,1347.1,34.94,2026-07-10T16:00:00
2026-07-10,SE2,17 - 18,19.2,1262.8,1262.8,35.71,2026-07-10T17:00:00
2026-07-10,SE2,18 - 19,58.6,1297.1,1297.1,31.68,2026-07-10T18:00:00
2026-07-10,SE2,19 - 20,55.8,1296.9,1296.9,29.33,2026-07-10T19:00:00
2026-07-10,SE2,20 - 21,55.1,1302.5,1302.5,25.91,2026-07-10T20:00:00
2026-07-10,SE2,21 - 22,53.6,1315.4,1315.4,26.72,2026-07-10T21:00:00
2026-07-10,SE2,22 - 23,40.0,1297.3,1297.3,22.94,2026-07-10T22:00:00
2026-07-10,SE2,23 - 24,49.2,1389.6,1389.6,21.24,2026-07-10T23:00:00
