delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-09,DK2,00:00 - 00:15,587.5,437.4,587.5,135.21,2026-07-09T00:00:00
2026-07-09,DK2,00:15 - 00:30,583.8,430.1,583.8,135.75,2026-07-09T00:15:00
2026-07-09,DK2,00:30 - 00:45,584.7,425.9,584.7,134.6,2026-07-09T00:30:00
2026-07-09,DK2,00:45 - 01:00,574.4,422.1,574.4,130.06,2026-07-09T00:45:00
2026-07-09,DK2,01:00 - 01:15,548.2,398.0,548.2,133.64,2026-07-09T01:00:00
2026-07-09,DK2,01:15 - 01:30,536.6,387.5,536.6,132.88,2026-07-09T01:15:00
2026-07-09,DK2,01:30 - 01:45,530.6,378.0,530.6,130.61,2026-07-09T01:30:00
2026-07-09,DK2,01:45 - 02:00,530.6,372.5,530.6,128.18,2026-07-09T01:45:00
2026-07-09,DK2,02:00 - 02:15,490.4,361.2,490.4,126.04,2026-07-09T02:00:00
2026-07-09,DK2,02:15 - 02:30,485.4,357.6,485.4,125.1,2026-07-09T02:15:00
2026-07-09,DK2,02:30 - 02:45,478.5,345.8,478.5,125.92,2026-07-09T02:30:00
2026-07-09,DK2,02:45 - 03:00,471.1,327.5,471.1,126.32,2026-07-09T02:45:00
2026-07-09,DK2,03:00 - 03:15,493.9,283.6,493.9,123.44,2026-07-09T03:00:00
2026-07-09,DK2,03:15 - 03:30,478.0,277.8,478.0,122.94,2026-07-09T03:15:00
2026-07-09,DK2,03:30 - 03:45,474.8,269.1,474.8,122.67,2026-07-09T03:30:00
2026-07-09,DK2,03:45 - 04:00,467.9,263.3,467.9,124.99,2026-07-09T03:45:00
2026-07-09,DK2,04:00 - 04:15,396.4,261.9,396.4,120.96,2026-07-09T04:00:00
2026-07-09,DK2,04:15 - 04:30,385.6,258.0,385.6,122.92,2026-07-09T04:15:00
2026-07-09,DK2,04:30 - 04:45,378.3,246.5,378.3,126.37,2026-07-09T04:30:00
2026-07-09,DK2,04:45 - 05:00,371.0,242.3,371.0,129.47,2026-07-09T04:45:00
2026-07-09,DK2,05:00 - 05:15,367.1,252.0,367.1,127.75,2026-07-09T05:00:00
2026-07-09,DK2,05:15 - 05:30,362.9,254.6,362.9,131.67,2026-07-09T05:15:00
2026-07-09,DK2,05:30 - 05:45,365.6,257.8,365.6,132.58,2026-07-09T05:30:00
2026-07-09,DK2,05:45 - 06:00,376.4,273.0,376.4,139.84,2026-07-09T05:45:00
2026-07-09,DK2,06:00 - 06:15,380.2,413.8,413.8,142.06,2026-07-09T06:00:00
2026-07-09,DK2,06:15 - 06:30,387.4,425.3,425.3,148.33,2026-07-09T06:15:00
2026-07-09,DK2,06:30 - 06:45,405.6,429.8,429.8,153.31,2026-07-09T06:30:00
2026-07-09,DK2,06:45 - 07:00,430.7,443.1,443.1,147.38,2026-07-09T06:45:00
2026-07-09,DK2,07:00 - 07:15,436.7,402.4,436.7,164.41,2026-07-09T07:00:00
2026-07-09,DK2,07:15 - 07:30,455.6,427.2,455.6,151.38,2026-07-09T07:15:00
